Time,Spot,Overall OI PCR,Overall Vol PCR,Max Pain
2026-06-20 05:09:51.350587,24032.0,2.03,0.0,24000
2026-06-20 05:09:51.748602,24032.0,2.04,0.0,24000
2026-06-20 05:09:52.192946,24032.0,1.87,0.0,24000
2026-06-20 05:09:52.598704,24032.0,1.61,0.0,24000
2026-06-20 05:09:53.057108,24032.0,1.62,0.0,24000
2026-06-20 05:09:53.500501,24032.0,1.63,0.0,24000
2026-06-20 05:09:53.898454,24032.0,1.52,0.0,24000
2026-06-20 05:09:54.299690,24032.0,1.52,0.0,24000
2026-06-20 05:09:54.736725,24032.0,1.39,0.0,24000
2026-06-20 05:09:55.150988,24032.0,1.33,0.0,24000
2026-06-20 05:09:55.591356,24032.0,1.33,0.0,24000
2026-06-20 05:09:55.984254,24032.0,1.34,0.0,24000
2026-06-20 05:09:56.452093,24032.0,1.16,0.0,24000
2026-06-20 05:09:56.877633,24032.0,1.11,0.0,24000
2026-06-20 05:09:57.339217,24032.0,1.11,0.0,24000
2026-06-20 05:09:57.737843,24032.0,1.11,0.0,24000
2026-06-20 05:09:58.182624,24032.0,1.04,0.0,24000
2026-06-20 05:09:58.720672,24032.0,1.02,0.0,24000
2026-06-20 05:09:59.191385,24032.0,1.02,0.0,24000
2026-06-20 05:09:59.653059,24032.0,0.96,0.0,24000
2026-06-20 05:10:00.151005,24032.0,0.96,0.0,24000
2026-06-20 05:10:00.569663,24032.0,0.94,0.0,24000
2026-06-20 05:10:00.992261,24032.0,0.94,0.0,24000
2026-06-20 05:10:01.480193,24032.0,0.88,0.0,24000
2026-06-20 05:10:02.023984,24032.0,0.88,0.0,24000
2026-06-20 05:10:02.585044,24032.0,0.88,0.0,24000
2026-06-20 05:10:03.049115,24032.0,0.87,0.0,24000
2026-06-20 05:10:03.619732,24032.0,0.85,0.0,24000
2026-06-20 05:10:04.074242,24032.0,0.85,0.0,24000
2026-06-20 05:10:04.575492,24032.0,0.85,0.0,24000
2026-06-20 05:10:05.085840,24032.0,0.84,0.0,24000
2026-06-20 05:10:05.596087,24032.0,0.75,0.0,24000
2026-06-20 05:10:06.053568,24032.0,0.75,0.0,24000
2026-06-20 05:10:06.599223,24032.0,0.75,0.0,24000
2026-06-20 05:10:07.034529,24032.0,0.74,0.0,24000
2026-06-20 05:17:31.303116,24032.0,0.0,0.0,23050
2026-06-20 05:17:31.710915,24032.0,38.47,0.0,23050
2026-06-20 05:17:32.055782,24032.0,5.74,0.0,23050
2026-06-20 05:17:32.485203,24032.0,27.99,0.0,23100
